DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",Medium,Growth Factors,Initial Culture (text),MoA chem 1; MoA chem 2,TFs/miRNA,Title,Assocoated Data,Yield (%),Comment on Yield,Type,Comment,"Authors;sorted=""Reverse"";sep=;",Stress factors
10.1016/j.biomaterials.2018.11.037,Mus musculus,Fibroblasts,Induced Skeletal Muscle-like Cells,,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;Parnate,19493;TTNPB,5289501","Differentiation medium composed of high glucose DMEM supplemented with 2% (v/v) horse serum (HyClone, IL, USA) and 1% (v/v) penicillin/streptomycin and incubated for 48 to 72 hours. P19 cells were maintained in α-modified Eagle’s MEM (GIBCO , MA, USA) supplemented with 10% heat-inactivated FBS and 1% penicillin and streptomycin at 37°C in a humidified atmosphere of 5% CO 2 and were passaged every 2 days.

Muscle Reprogramming Medium: composed of knockout DMEM (GIBCO, MA, USA), 15% knockout serum replacement, 5% FBS, 1% Glutamax, 1% non-essential amino acid, 0.1 mM β-mercaptoethanol, and 1X penicillin/streptomycin, containing chemical compound combinations, such as VCRFPT or VCRF. VCRFPT cocktail consists of 0.5 mM Valproic Acid (V), 20 μM CHIR99021 (C), 10 μM RepSox (R), 50 μM Forskolin (F), 5 μM Parnate (P), and 1 μM TTNPB (T).

Expansion medium: DMEM/F12 (Welgene, Korea), 1% penicillin and streptomycin, 0.5% BSA (Gibco, MA, USA), 1% Glutamax, 1% non-essential amino acid, 300 μg/ml phospho 2-phospho-L-ascorbic acid, 10 ng/ml BMP4, 0.15 mM monothioglycerol, 1X B27 supplements without Vitamin A (Gibco, MA, USA), 20 μM CHIR99021, and 20 ng/ml FGF2 (Preprotech, NJ, USA).",Activin A;BMP4;VEGF,"Mouse embryonic fibroblasts (MEF) were isolated from an embryonic day (13.5) C57BL.6 mouse embryo (Orientbio, Korea). The head, spinal cord, and the internal organs were carefully
removed to eliminate any chance of contamination of neural crest cells. The rest of the tissues were cut and trypsinized with 0.25% trypsin-EDTA (GIBCO, MA, USA) to produce a single cell
suspension. MEFs were subsequently cultured in high glucose DMEM supplemented with 10% (v/v) FBS (Gibco, MA, USA) and 1% (v/v) penicillin and streptomycin (Welgene, Korea). For lineage tracing experiments, FSP-Cre mice were mated with R26R tdTomato mice (Jackson Laboratories, ME, USA) to generate mice with fibroblast specific expression of tdTomato in MEF. MEF were isolated in a similar procedure as described above.",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of lysine-specific demethylase 1 (LSD1);Agonist of a retinoic acid receptor,_,Chemical Induced Conversion of Mouse Fibroblasts and Human Adipose-Derived Stem Cells Into Skeletal Muscle-Like Cells,_,1.5,Percent of α-actinin immuno-positive skeletal muscle cells,1,_,Kyeong Kyu;Jong-Sun Kang;Hyeon-Ju Jeong;Tong Mook;Jieun An;Debojyoti De;Varun Bansal,_
10.1016/j.stemcr.2018.04.009,Mus musculus,Fibroblasts,Induced Myogenic Progenitor Cells,14,"CHIR99021,9956119;RepSox,449054;Forskolin,47936","iMPC medium: containing KnockOut-DMEM (ThermoFisher Scientific, catalog number 10829-018) supplemented with 10% FBS (HyClone catalog number SH30396.03), 10% KnockOut Serum Replacement (ThermoFisher Scientific, Catalog number 10828028), 1% GlutaMAX (Catalog number 35050061), 1% non-essential amino acids (ThermoFisher Scientific, Catalog number 11140050), 1% penicillin-streptomycin (ThermoFisher
Scientific, catalog number 15140122), 0.1% β-mercaptoethanol (ThermoFisher Scientific, catalog number 21985-023) and 10ng/ml basic FGF (R&D 233-FB). Forskolin (SigmaAldrich F6886) and RepSox (Sigma-Aldrich, R0158) were added at a concentration of 5μM each. For most experiments, 3μM of the GSK3β inhibitor CHIR99021 (Tocris) was used. Doxycycline (Sigma-Aldrich, D9891) was added at a final concentration of 2μg/ml.",_,"Mouse embryonic fibroblasts (MEFs), tail-tip fibroblasts (TTFs) and the commercial myoblast cell line C2C12 (ATCC®CRL-1772TM) were cultured in “MEF medium”.containing DMEM (ThermoFisher Scientific, catalog number 10313-021), supplemented with 10% Fetal Bovine Serum (FBS) (HyClone catalog number SH30396.03), 1% GlutaMAX (ThermoFisher Scientific, catalog number 35050061), 1% non-essential amino
acids (ThermoFisher Scientific, catalog number 11140050), 1% penicillin-streptomycin (ThermoFisher Scientific, catalog number 15140122), 0.05% β-mercaptoethanol (ThermoFisher Scientific, catalog number 21985-023). Freshly isolated satellite cells and derivative myoblasts were cultured using a 1:1 ratio of DMEM and F-10 (1X) Nutrient mix (ThermoFisher Scientific, catalog number 11550-043) supplemented with 10% horse serum (ThermoFisher Scientific, catalog number 16050-122), 20% FBS (HyClone catalog number SH30396.03) and 10ng/ml basic-FGF (R&D Systems 233-FB). Satellite cells and
myoblasts were cultured on plates coated with Matrigel Basement Membrane Matrix (Catalog number 356237, Corning) or laminin (Catalog number 23017015, Thermo Fisher Scientific).",Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist,MyoD,Direct Reprogramming of Mouse Fibroblasts into Functional Skeletal Muscle Progenitors,GSE108543;GSE92336,50,Percent of Pax7+ cells,2,_,Konrad Hochedlinger;Amy Wagers;Michael Rudnicki;Shahragim Tajbakhsh;Harald Ott;Ruslan Sadreyev;Anthony Anselmo;Sylvain Paisant;Duygu Payzin;Priscilla Cheung;Cassandra Verheul;Peter Feige;Aaron Huebner;Amy Coffey;Amy Galvin;Albert Almada;Bruno Stefano;Mattia Gerli;Ori Bar,_
10.1073/pnas.1720273115,Homo sapiens,Peripheral Blood T Cells,Induced Neurons,21,"Forskolin,47936;Dorsomorphin,11524144;SB431542,4521392;IWP-2,_;DAPT,5311272;Retinoic acid,444795;SU 5402,5289418;Y-27632,448042;SP600125,8515",N3 media,Activin A,"Peripheral blood mononuclear cells(PBMCs) were isolated using gradient centrifugation and electroporated these cells with episomal vectors encoding the four transcription factors Brn2, Ascl1, Myt1l, and Ngn2, collectively termed the BAMN pool, which was previously found to generate iN cells from human fibroblasts (9), and enhanced green fluorescent protein (EGFP) into 3 million PBMCs. Transfected cells were then cultured in IL-2 and CD3/CD28 antibodies containing media supporting T cell growth.","CAMP agonist;Inhibitor of ALK2, ALK3, ALK6         and AMPK;Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of Wnt;Inhibitor of γ-secretase;Agonist of a retinoic acid receptor;Inhibitor of VEGFR2, FGFR1         and PDGFRB;Inhibitor of ROCK1 and ROCK2;Inhibitor of JNK
",Brn2;Ascl1;Myt1l;Ngn2,Transdifferentiation of human adult peripheral blood T cells into neurons,GSE113804,6.2,Percent of cells with neuronal morphologies and expressed multiple pan-neuronal markers,2,_,Marius Wernig;Thomas Sudhof;Douglas Levinson;Daniel Haag;Victor Olmos;Soham Chanda;Cheen Ang;Koji Tanabe,_
10.1016/j.celrep.2018.06.116,Mus musculus,Fibroblasts,Induced Neural Stem Cells,12,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054","Conditional medium: DMEM supplemented with 10% fetal bovine serum (FBS), KnockOut DMEM with 10% KnockOut serum replacement (KSR), Dulbecco’s Modified Eagle Medium/Nutrient Mixture F-12 with 10% KSR, neural basal medium (STEMCELL Technologies) with N2 and B27, Roswell Park Memorial Institute RPMI 1640 medium  with 10% FBS, and MyeloCult M5300 medium containing FBS and horse serum.

M5300 medium.",FGF5;EGF;bFGF;LIF;IL-6,"MEFs were isolated from E13.5 mouse embryos and mouse TTFs were isolated from 8-week-old mice as our previous report (https://www.nature.com/articles/cr201432). Briefly, embryonic tissues without head, limbs, visceral tissues, gonads, or vertebral column were scissored into pieces and trypsinized. The front 1/5 part of tail from adult mice were scissored into 1 mm pieces and cultured till cells migrated out from the tail-tip pieces. Both MEFs and TTFs were cultured in Dulbecco’s Modified Eagle’s Medium (DMEM) supplemented with 10% fetal bovine serum (FBS), 1 mM GlutaMAX, 0.1 mM non-essential amino acid, 100 units/mL penicillin and 100 mg/mL streptomycin at 37C with 5% CO 2 . All cells at early passages (less than 3 passages) were used further experiment.",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor),_,Direct Conversion of Mouse Fibroblasts into Neural Stem Cells by Chemical Cocktail Requires Stepwise Activation of Growth Factors and Nup210,GSE108300,20,Percent of Nestin+ cells,1,_,Lin Cheng;Feng Liu;Pei Yu;Shumin Xiong;Yuewen Tang,_
10.22074/cellj.2020.6582,Homo sapiens,Mesenchymal Stem Cells (Adipose-derived),Induced Cardiomyocytes,21,"Valproic Acid,3121;5-Aza-2'-deoxycytidine,451668","For cardiac differentiation, third to fifth-passaged ADSC were seeded into 0.1% gelatin-coated 6-well tissue culture plates with a density of 105 cell/ml (2 ml per each well). After 24 hours, the cells were induced for cardiac differentiation with 10 ng/ml bFGF and 20 ng/ml BMP4 for four days. After the induction stage, growth factors were omitted completely and differentiation of the cells was continued in 10% FBS-containing medium up to three weeks. ",BMP4;bFGF,"Adipose tissue was minced and digested by 2 mg/ml collagenase I (Thermo Fisher Scientific, USA) in PBS containing 2% bovine serum albumin. The stromal vascular fraction (SVF) was plated at 5×104
cells/ml in tissue culture flasks. Growth medium contained Dulbecco’s Modified Eagle’s Medium (DMEM), 20% fetal bovine serum (FBS), 100 U/ml penicillin and 100 µg/ml streptomycin. Medium was changed every other day, and the cells were subcultured after reaching 80-90% confluency. ",Inhibitor of histone deacetylase;Inhibitor of DNA methylation,_,Cardiac Differentiation of Adipose Tissue-Derived Stem Cells Is Driven by BMP4 and bFGF but Counteracted by 5-Azacytidine and Valproic Acid,_,39,Cardiac troponin positive cells,1,_,Masoumeh Taha;Asadollah Asadi;Arash Javeri;Sanaz Hasani,_
10.1007/s11033-020-05370-1,Homo sapiens,Urine Cells,Induced Neurons,12,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;SP600625,_;GO6983,3499;Y-27632,448042;ISX9,19582717;I-BET151,52912189;QVD-OPH,24794416","HUC-1 medium [DMEM-F12 medium with 1% p/s, 0.1% each supplement from Renal Epithelial Cell Growth (REGM) BulletKit (Lonza, US) and 10% Fetal Bovine Serum (FBS, Gibco)] and transferred into two wells of gelatin-coated four-well plate. Medium was half-changed every other day.

HUC-2 medium (Renal Epithelial Basal Medium (REBM) with 1% p/s, 0.1% each supplement from REGM BulletKit and 1% FBS (Gibco)) at day 3 after first seeding.

NIM1; Neurobasal medium (Gibco, AUS) supplemented with 1% p/s (Gibco), 1% L-glutamine (Gibco), 2% B27 (Gibco), 1% N2 (Gibco) supplemented with 100 μM cAMP-Na (Sigma), 4 μM Valproic Acid (Valproic Acid, Calbiochem), 3 μM CHIR99021(selleck chemicals), 1 μM RepSox (Sigma), 10 μM Forskolin (Sigma), 10 μM SP600125 (Sigma), 5 μM GO6983 (Sigma), 10 μM Y-27632 (Sigma), 2 μM IBET151 (Sigma), 20 μM Isoxazole9 (ISX9, R&D Systems), 10 μM Retinoic acid (RA, Sigma), 5 μM QVD-OPh (MedChemExpress) and 0.2 mM Vitamin C (VitC, Sigma)).

Urine Stem Cell Medium (USCM) (keratinocyte serum-free media (KSFM): DMEM-F12 (1:1) with 10% FBS (Gibco), 1% p/s, 50 µg/ml bovine pituitary extract (BPE), 10 ng/ml epidermal growth factor (EGF) and 1.8 × 10–4 M adenine.

Neurobasal medium: 1% p/s, 1% L-glutamine, 2% B27, 1% N2 supplemented with 20 ng/ml BDNF, 20 ng/ml GDNF, 20 ng/ml IGF and 20 ng/ml NT3",,"Urine samples were collected from three donors (all male, 35–50 years old; cell record number (CRN): 201, 205, 234). After collection, samples were collected into 50 ml centrifuge tubes and centrifuged for 10 min at 400×g. Supernatants were then discarded, leaving about 1 ml of sample in each tube. About 10 ml of sterile phosphate buffered saline (PBS) with 1% penicillin/streptomycin (p/s) was added into the tube to prevent any possible contamination. Then the cells were transferred into new 15 ml sterile tubes and centrifuged again at 400 g for 10 min. '",Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of the JNK;Inhibitor of protein kinase C;Inhibitor of ROCK1 and ROCK2;Neurogenic Modulator;Inhibitor of the BET family;Inhibitor of the broad-spectrum caspase,_,Conversion of human urine-derived cells into neuron-like cells by small molecules,_,_,"Induction efficiency were not measured. Cells were stained positive for neuronal markers Tuj1, MAP2, Tau, PSA-Ncam, but not NeuN or SYNJ1. The electrophysiology analysis showed that about 30% of the induced cells have acquired voltage gated Na+ and K+ currents.",1,_,Xin-Fu Zhou;Hong Liao;Larisa Bobrovskaya;Fiona Zhou;Nimshitha Pavathuparambil;Mohammed Al;Grigori Rychkov;Donghui Liu,_
10.5713/ajas.19.0796,Sus scrofa,Mesenchymal Stem Cells (Bone marrow derived),Induced Pancreatic Beta Cells,30,"Valproic Acid,3121;5-Aza-2'-deoxycytidine,451668","BM-MSCs were seeded at a density of 1×105 134 135 cells/35 mm dish in ADMEM (Advanced Dulbecco's modified Eagle's medium (ADMEM) supplemented with 10% FBS for 24 hours (Day 0), followed
by treatment with 1 µM 5-Aza and/or 50 g/ml Valproic Acid (Valproic Acid) and were cultured at 37 °C and 5% CO2 in a humidified incubator for next 24 hours.

N2B27-based medium: DMEM/F12 medium supplemented with 156 N2, B27, 0.1 mM ß-mercaptoethanol, 2 mM glutamine, 1 mM MEM nonessential amino acids, 0.5% bovine serum albumin (BSA) and 100 ng/mL of basic fibroblast growth factor.",,"BM-MSCs were cultured in Advanced Dulbecco's modified Eagle's media (ADMEM) supplemented with 10% fetal bovine serum (FBS), 1X GlutaMAX (Gibco), and 1% penicillin-streptomycin (10,000 IU and 10,000 g/mL) at 37 °C and 5% CO2 in a humidified incubator.",Inhibitor of histone deacetylase;Inhibitor of DNA methylation,,"Transdifferentiation of α-1,3-galactosyltransferase knockout pig bone marrow derived mesenchymal stem cells into pancreatic β-like cells by microenvironment modulation",_,_,Induction efficiency were not measured. NEUROD1 and NKX6 expression were measured by Real-Time qPCR ,1,_,Sun Ock;Tai-Young Hur;Youngim Kim;Seongsoo Hwang;Keon Bong;Ran Lee;Imran Ullah,_
10.1242/dev.172569,Zebrafish,_,Induced Pancreatic Beta Cells,21,"XL147,1893730;Chaulmoogric Acid Ethyl Ester,2700;SKF-86055,453216;HC-Toxin,107864;SB-736290,11680113;PD168393,4708;DTXSID80301486,286003;Scriptaid,5186",_,_,Whole genome zebrafish with TgBAC(pdx1:luciferase2) reporter,Inhibitor of PI3 kinase;Agonist of the GPR40;Inhibirot of the ALK5;Inhibitor of the HDAC;Inhibitor of the MSK1;Inhibitor of the EGFR;Agonist of the Adenosine Receptor;Inhibitor of the HDAC,_,A whole organism small molecule screen identifies novel regulators of pancreatic endocrine development,_,_,"In this study, we used a newly generated zebrafish reporter to screen over 8000 small molecules for modulators of pdx1 expression. We found four hit compounds and validated their efficacy at different stages of pancreas development. ",1,_,Didier Stainier;Francesca Spagnoli;Ole Korsgren;Stefan Offermanns;Mario Looso;Duc Dong;Remy Bonnavion;Joseph Lancman;Florian Kreuder;Hyouk-Bum Kwon;Oskar Skog;Sorin Tunaru;Jens Preussner;Laura Mueller;Sri-Teja Mullapudi;Christian Helker,_
10.1038/s41467-019-08626-y,Mus musculus,Fibroblasts,Induced Cardiomyocytes,28,"Diclofenac,3033;STK081095,135456876;STK833231,3823504;STK825882,2978770","Medium: 6 mL of Dulbecco’s modified Eagle medium, DMEM, containing 10% fetal bovine serum, FBS, per embryo.

Explant medium: IMDM with L-glutamate and 25 mM HEPES, Gibco, 12440-053, 20% FBS",_,"For TTF isolation, postnatal day 1–3 or 8–week-old adult mouse tails were minced into pieces smaller than 1 mm3. The explants were plated on gelatin-coated dishes and cultured for 10–14 days in explant medium.",Inhibitor of the Cyclooxygenase-2;Putative Inhibitor of the Cyclooxygenase;Putative Inhibitor of the Cyclooxygenase;Putative Inhibitor of the Cyclooxygenase,Gata4;Mef2c;Tbx5;Hand2,Role of cyclooxygenase-2-mediated prostaglandin E2-prostaglandin E receptor 4 signaling in cardiac reprogramming,GSE116227,6,Percent of cTnT+ positive cells (FACS analyses),2,_,Naoto Muraoka;Kaori Nara;Fumiya Tamura;Hidenori Kojima;Hiroyuki Yamakawa;Taketaro Sadahiro;Kazutaka Miyamoto;Mari Isomi;Sho Haginiwa;Hidenori Tani;Shota Kurotsu;Rina Osakabe;Satoru Torii;Shigeomi Shimizu;Hideyuki Okano;Yukihiko Sugimoto;Keiichi Fukuda;Masaki Ieda,_
10.1155/2019/7627148,Homo sapiens,Mesenchymal Stem Cells (Bone marrow derived),Induced Neurons,10,"I-BET151,52912189;CHIR99021,9956119;Forskolin,47936;RepSox,449054;Y-27632,448042;Bucladesine,9687","Neurobasal medium, α-MEM, RPMI medium, DMEM low glucose (DMEM-lg), DMEM/F-12, fetal bovine serum (FBS), L-glutamine, dispase II, Glutamax, antibiotics, trypsin/EDTA, human neurotrophic factors, N2, and B27 were all purchased from GibcoTM Thermo Fisher Scientific Inc. (MA, USA).

Neuronal induction medium: 50% neurobasal medium, 50% DMEM/F12 with 1 × N2 and 1 × B27 with vitamin A, 1 × Glutamax, 1 × nonessential amino acids, and 20 ng/mL FGF2 plus 5 μg/mL heparin) plus the defined chemical cocktails for 8
or 4 days (as appropriate) at 37 ° C and 5% CO 2.",FGF2;hBDNF;hGDNF,"The bone marrow samples were obtained according to the Local Ethics Committee of the Villa Coapa Hospital, Mexican Institute for Social Security (IMSS, Mexico). Adult and neonatal MSCs were seeded onto fibronectin (2 μg/cm 2 )/0.1% gelatin-coated plates at a density of 2 × 10 4 cells/cm 2 and cultured in MSC growth medium for one day.",Inhibitor of the BET family;Inhibitor of GSK3β;CAMP agonist;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of ROCK1 and ROCK2;CAMP pathway activator,_,Neuronal Transdifferentiation Potential of Human Mesenchymal Stem Cells from Neonatal and Adult Sources by a Small Molecule Cocktail,GSE120681,50,Percent of the TUJ1+cells,1,_,Marco Alvarez;Laura Bonifaz;Erika Hernandez;Rosa Ruiz;Victor Cortes;Juan Montesinos;Enoch Luis;Cesar Lara;Arturo Picones;Alejandro Aguilera;Herminia Pasantes;Lorena Cortes,_
10.1038/s41598-019-39544-0,Homo sapiens,Myofibroblasts,Fibroblasts,1,"Y-27632,448042","Minimum Essential Medium (MEM), foetal bovine serum, 4‐(2‐hydroxyethyl)‐1‐piperazineethanesulfonic acid (HEPES), trypsin EDTA, and penicillin (100 U/mL)/streptomycin (100 μg/mL) were supplied by Gibco‐Invitrogen (Carlsbad, California). Phosphate‐buffered saline (PBS), radioimmunoprecipitation assay buffer, and phosphatase inhibitor solution were from Wako Pure Chemical Industries, Ltd (Osaka, Japan).",_,The Tenon tissue from each patient was excised and digested as previously described. Cells from patients were then cultured in MEM supplemented with 10% foetal bovine serum and penicillin (100 U/mL)/streptomycin (100 μg/mL) and maintained in the exponential growth phase of culture.,Inhibitor of ROCK1 and ROCK2,_,Forskolin and IBMX Induce Neural Transdifferentiation of MSCs Through Downregulation of the NRSF,_,_,"Expression of α‐SMA, Tubulin, Vimentin",1,_,Christina Chan;Christina Casali;Ryan Thompson,_
10.1016/j.yexcr.2019.04.011,Mus musculus,Mesenchymal Stem Cells (Bone marrow derived),Induced Neurons,8,"Forskolin,47936;IBMX,3758",Cells were cultured in low glucose DMEM (Invitrogen) supplemented with 10% fetal bovine serum (Invitrogen) and free from antibiotics.,_,The two ends of the bone were cut open and the marrow was flushed with 10 mL of DMEM using a 25 g needle and syringe. The cell suspension was filtered through a 70-um nylon mesh to remove bone debris and blood aggregates. Cells were cultured in low glucose DMEM (Invitrogen) supplemented with 10% fetal bovine serum (Invitrogen) and free from antibiotics. Cells were incubated in a humidified atmosphere containing 5% CO2 at 37 C. Non-adherent cells from the flushed marrow were removed after 48 h after isolation. Media was replaced every 3 days until the cells reached 80–90% confluence.,CAMP agonist;Inhibitor of the cyclic nucleotide phosphodiesterases,_,Programming of ES cells and reprogramming of fibroblasts into renal lineage-like cells,_,_,Expression of the Tuj1,1,_,Reza Moghadasali;Hossein Baharvand;Nasser Aghdamia;Mahdi Hesarakia;Mehdi Totonchi;Zohreh Mansoori,_
10.1038/s41421-019-0096-8,Mus musculus,Fibroblasts,Uterine Epithelial Cells,12,"CHIR99021,9956119;AC1LA18U,459803;A83-01,10202642","Expanding medium: DMEM/F12 and Neurabasal (3:1), 2% KOSR 100 ng/mL EGF (R&D, 2028-EG-200), 10 ng/mL FGF2, 1000 U/mLif, 5 μM A 83-01, 3 μM CHIR99021, 1 μg/mL Heparin (Sigma, H4784), 55 μM β-mercaptoethanol (Gibco, 21985), 0.002% BSA (Sigma, A7906-100G), NEAA (Gibco, 11140-050, 100 ×), N2 and B27]. Trypsin (0.25%) (Gibco, 25200072) digestion was done to passage the cells, the passage ratio was 1: 4 to 1: 6. 

Inducing medium: FBLDAC cocktail and other supplements including DMEM/F12 (Gibco, 12400-024) and Neurabasal (Gibco, 21103-049) (1:1 mixture), N2 (Gibco, 17502-048), B27 (Gibco, 17504-044), 10% FBS and 10% KOSR (Gibco, 10828028). ",FGF2;BMP4;mLif,"Mouse embryonic fibroblasts (MEFs) were isolated from embryos at embryonic day 13.5 (E13.5) and then cultured with a chemical cocktail consisting of FGF2, BMP4, mLif, 1,4-DPCA (a competitive inhibitor of HIF prolyl 4-hydroxylase), A8-301 (an inhibitor of TGF-β type I receptor ALK5 kinase), and CHIR99021 (a GSK-3α/β inhibitor)-inducing medium (FBLDAC).","Inhibitor of GSK3β;Inhibitor of the HIF prolyl 4-hydroxylase;Inhibitor of ALK4, ALK5, ALK7 (activin receptor-like kinases)",_,Reprogramming of fibroblasts to uterine glandular epithelium by a chemical cocktail induction,_,_,"Hierarchical clustering analysis revealed that the gene expression patterns of ciGEs were closely related to priUterus, while differed significantly from MEFs. Furthermore, ciGEs have high expression levels of Sprr2f and Ltf, similar to GE.",1,_,Qi Zhou;Wei Li;Ying Zhang;Zhonghua Liu;Jia Guo;Xin Liu;Yanping Hu;Junjie Mao;Zhengquan He;Xuewei Yuan,_
10.1016/j.jcyt.2019.01.004,Mus musculus,Mesenchymal Stem Cells (Wharton’s jelly),Endothelial Cells,14,"Celecoxib,2662","Endothelial basal medium: (EBM-2; Lonza)supplemented with various growth factors includingvascular endothelial growth factor (VEGF-A; Endo-thelial Growth Medium-2 (EGM-2), CC-3162;Lonza)",VEGF-A;EGM-2,Well-characterized commercially available human WJ-MSCs were cultured in MSC expansion media (AL512; HiMedia) containing 10% fetal bovine serum (FBS) and 1% penicillin-streptomycin (Invitrogen) at 37°C. All experiments were performed between passages 5 and 7.,Inhibitor of cyclooxygenase [COX] 2,_,Cycloxygenase-2 inhibition potentiates trans-differentiation of Wharton's jelly–mesenchymal stromal cells into endothelial cells: Transplantation enhances neovascularization-mediated wound repair,_,_,"Expression of VE-cadherin,ANGPT2,VEGFR-2,CD31 and CD144",1,_,Amitava Das;Komal Kaushik,_
10.1002/cpsc.44,Homo sapiens,Induced Pluripotent Stem Cells,Induced Osteoblasts,21,"Adenosine,60961","hPSC maintenance medium: Knockout DMEM, 10% (v/v) knockout serum replacement, 10% (v/v) human plasmanate, 1% (v/v) nonessential amino acids, 1% (v/v) GlutaMAX, 1% (v/v) penicillin/streptomycin 55 μM 2-mercaptoethanol 30 ng/ml recombinant human bFGF.

hPSC differentiation medium: High-glucose DMEM, 10% (v/v) fetal bovine serum, 4 mM L-glutamine 1% (v/v) penicillin/streptomycin 30 μg/ml adenosine.

hPSC intermediate medium: Knockout DMEM, 10% (v/v) knockout serum replacement, 10% (v/v) human plasmanate, 1% (v/v) nonessential amino acids, 1% (v/v) GlutaMAX, 1% (v/v) penicillin/streptomycin 55 μM 2-mercaptoethanol",_,,Osteogenic inducer,,Direct Conversion of Human Pluripotent Stem Cells to Osteoblasts With a Small Molecule,_,_,Expression of the osteocalcin,1,_,Shih  Shyni Varghese;Heemin Kang  Yu‐Ru,_
10.1038/s41422-018-0036-4,Mus musculus,Fibroblasts,Induced Cardiomyocytes,7,"CHIR99021,9956119;RepSox,449054;Forskolin,47936;Valproic Acid,3121;Parnate,19493;TTNPB,5289501;Rolipram,5092",_,_,_,Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of histone deacetylase;Inhibitor of lysine-specific demethylase 1 (LSD1);Agonist of a retinoic acid receptor;Inhibitor of the type 4 cyclic nucleotide phosphodiesterases (PDE4),_,Chemical-induced cardiac reprogramming in vivo,_,_,Expression of the α-actinin and Mef2C,1,in vivo model,Xin Xie;Jinxi Wang;Yanbin Fu;Wanzhi Tu;Chenwen Huang,_
10.1007/s11427-018-9359-8,Homo sapiens;Mus musculus,Fibroblasts,Induced Motor Neurons,5,"Valproic Acid,3121;SB431542,4521392;RepSox,449054;CHIR99021,9956119;Kenpaullone,3820;Purmorphamine,5284329;SAG,5284330;Retinoic acid,444795;Y-27632,448042","Medium: Neurobasal medium, 2% B27, 2 mmol L−1 GlutaMAX, 1% penicillin/streptomycin.

Fibroblast medium consisting of Dulbecco’s modified eagle medium (DMEM) supplemented with 10% FBS, 2 mmol L−1 GlutaMAX, 1% penicillin/streptomycin at 37°C with 5% CO.

Neuronal induction medium consisting of Neurobasal medium, 2% B27, 2 mmol L−1 GlutaMAX, 1% penicillin/streptomycin",_,Human fetal lung IMR-90 fibroblasts were maintained in the DMEM containing 10% fetal bovine serum (FBS),Inhibitor of histone deacetylase;Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of the ALK5 (TGF-β type 1 receptor);Inhibitor of GSK3β;Inhibitor of the GSK3β;Agonist of hedgehog;Agonist of the Smoothened;Agonist of a retinoic acid receptor;Inhibitor of ROCK1 and ROCK2,_,Chemical conversion of human and mouse fibroblasts into motor neurons,_,95,Percent of TUJ1-positive cells,1,1,Xiaobing Fu;Kui Ma;Andong Zhao;Hua Qin,_
10.1016/j.stemcr.2018.09.004,Mus musculus,Striatal Neurons,Induced Dopamine Neurons,56,"Valproic Acid,312",in vivo,_,_,Inhibitor of histone deacetylase,SOX2;URR1;LMX1A;FOXA2,Phenotypic Reprogramming of Striatal Neurons into Dopaminergic Neuron-like Cells in the Adult Mouse Brain,_,_,iDALs (induced dopaminergic neuron-like cells) Exhibit Electrophysiological Properties Similar to DA Neurons,2,in vivo model,Chun-Li Zhang;Yuhua Zou;Lei-Lei Wang;Tong Zang;Wenze Niu,_
10.2217/rme-2017-0155,Homo sapiens,Astrocytes,Induced Oligodendrocytes,14,"Trichostatin A,444732;5-Aza-2'-deoxycytidine,451668",in vivo,_,_,Inhibitor of the histone deacetylases I and II;Inhibitor of DNA methylation,_,In vivo conversion of astrocytes to oligodendrocyte lineage cells using chemicals: targeting gliosis for myelin repair,_,_,,1,in vivo model,Mohammad Javan;Hossein Baharvand;Leila Zare,_
